ENST00000628983	NM_012234
ENST00000277900	NM_001121
ENST00000323116	NM_014616
ENST00000396857	NM_001042600
ENST00000337612	NM_001270732
ENST00000618481	NM_001270726
ENST00000538149	NM_001270728
ENST00000381241	NM_004043
ENST00000381241	NM_001171038
ENST00000344300	NM_032413
ENST00000334194	NM_178134
ENST00000328554	NM_024627
ENST00000341206	NM_198946
ENST00000491614	NM_001321647
ENST00000491614	NM_014142
ENST00000215754	NM_002415
ENST00000376634	NM_001018038
ENST00000408927	NM_001100427
ENST00000381233	NM_001171039
ENST00000325285	NM_018998
ENST00000453712	NM_021159
ENST00000248706	NM_023940
ENST00000358230	NM_001282610
ENST00000358230	NM_016056
ENST00000302362	NM_018405
ENST00000260229	NM_022122
ENST00000389677	NM_032511
ENST00000408900	NM_001100429
ENST00000400314	NM_020528
ENST00000339360	NM_001100426
ENST00000588751	NM_001321057
ENST00000415669	NM_001039651
ENST00000342929	NM_176810
ENST00000215939	NM_001887
ENST00000376636	NM_001018037
ENST00000423497	NM_001202560
ENST00000375394	NM_006929
ENST00000400308	NM_001130141
ENST00000257979	NM_012064
ENST00000360280	NM_033305
ENST00000613311	NM_001289025
ENST00000430352	NM_001288986
ENST00000290438	NM_001038640
ENST00000491431	NM_152411
ENST00000422871	NM_001137605
ENST00000281182	NM_014384
ENST00000417738	NM_170783
ENST00000282091	NM_000315
ENST00000529816	NM_001316352
ENST00000357409	NM_015186
ENST00000451032	NM_014046
ENST00000334670	NM_198692
ENST00000339450	NM_024896
ENST00000406870	NM_001706
ENST00000274532	NM_138379
ENST00000407796	NM_001014431
ENST00000336233	NM_000235
ENST00000336233	NM_001127605
ENST00000429558	NM_001278785
ENST00000270642	NM_001101372
ENST00000312349	NM_001001343
ENST00000619817	NM_021706
ENST00000407087	NM_001146726
ENST00000286424	NM_001282606
ENST00000349310	NM_001014432
ENST00000441251	NM_014596
ENST00000232014	NM_001130845
ENST00000431416	NM_001278786
ENST00000542724	NM_001282609
ENST00000597275	NM_001271836
ENST00000319023	NM_018161
ENST00000518119	NM_001286680
ENST00000456827	NM_001288979
ENST00000289820	NM_182795
ENST00000621333	NM_001134738
ENST00000514264	NM_001018137
ENST00000606812	NM_001271835
ENST00000606812	NM_033626
ENST00000537233	NM_001201472
ENST00000603986	NM_001163321
ENST00000574025	NM_001201473
ENST00000381530	NM_001286681
ENST00000329553	NM_018962
ENST00000536628	NM_001163322
ENST00000536628	NM_001163323
ENST00000493325	NM_001005328
ENST00000297848	NM_021110
ENST00000555528	NM_005163
ENST00000431524	NM_001004464
ENST00000512737	NM_002512
ENST00000304771	NM_033063
ENST00000503064	NM_001018139
ENST00000627695	NM_020818
ENST00000521580	NM_138428
ENST00000261708	NM_018428
ENST00000528743	NM_005553
ENST00000393183	NM_001198682
ENST00000393190	NM_001018138
ENST00000264645	NM_007359
ENST00000434603	NM_207577
ENST00000286621	NM_006721
ENST00000423898	NM_001164825
ENST00000336735	NM_005065
ENST00000417239	NM_001164824
ENST00000260818	NM_015268
ENST00000431011	NM_001128600
ENST00000390565	28483
ENST00000290536	NM_138804
ENST00000372734	NM_001123
ENST00000545606	NM_018448
ENST00000539909	NM_001202450
ENST00000555824	NM_001244984
ENST00000379370	NM_198576
ENST00000541550	NM_001202449
ENST00000367882	NM_003206
ENST00000264039	NM_002081
ENST00000396986	NM_001283038
ENST00000396986	NM_001256236
ENST00000396986	NM_001256237
ENST00000300730	NM_001145438
ENST00000536235	NM_001321739
ENST00000536235	NM_001281296
ENST00000611977	NM_001013742
ENST00000615548	NM_001001667
ENST00000506970	NM_001306142
ENST00000379108	NM_198404
ENST00000237316	NM_198392
ENST00000602676	NM_004152
ENST00000330315	NM_023067
ENST00000582888	NM_001301020
ENST00000400677	NM_018942
ENST00000620552	NM_001305275
ENST00000346477	NM_198845
ENST00000225648	NM_018952
ENST00000359982	NM_001177548
ENST00000268766	NM_178170
ENST00000261226	NM_020698
ENST00000551457	NM_001301036
ENST00000429828	NM_001278495
ENST00000585973	NM_001307955
ENST00000257910	NM_005981
ENST00000404648	NM_000509
ENST00000321600	NM_173629
ENST00000436458	NM_001177547
ENST00000407595	NM_001080433
ENST00000374317	NM_014696
ENST00000447918	NM_001304561
ENST00000343300	NM_198846
ENST00000425629	NM_001245
ENST00000343289	NM_001134373
ENST00000343289	NM_012229
ENST00000336098	NM_021870
ENST00000383314	NM_003799
ENST00000215855	NM_004076
ENST00000391797	NM_001177549
ENST00000614701	NM_001145026
ENST00000532523	NM_001283039
ENST00000592764	NM_001308263
ENST00000396334	NM_002468
ENST00000396400	NM_005042
ENST00000396400	NM_001110213
ENST00000632473	28503
ENST00000275525	NM_000596
ENST00000631884	28508
ENST00000333412	NM_001006607
ENST00000370196	NM_005521
ENST00000023064	NM_001243036
ENST00000023064	NM_001126335
ENST00000023064	NM_014270
ENST00000229795	NM_001315
ENST00000467928	NM_001195517
ENST00000424893	NM_001172568
ENST00000625431	NM_004536
ENST00000360844	NM_001098612
ENST00000307650	NM_138418
ENST00000261534	NM_013382
ENST00000534324	NM_001031672
ENST00000253144	NM_018555
ENST00000616766	NM_022892
ENST00000302326	NM_002430
ENST00000229794	NM_139012
ENST00000495303	NM_001172566
ENST00000326279	NM_024674
ENST00000372724	NM_001256469
ENST00000431982	NM_001135211
ENST00000392621	NM_174892
ENST00000511593	NM_001079907
ENST00000413573	NM_001281304
ENST00000443433	NM_001172569
ENST00000287239	NM_012330
ENST00000242317	NM_012144
ENST00000300976	NM_018316
ENST00000405876	NM_001143852
ENST00000372711	NM_001256468
ENST00000310795	NM_139014
ENST00000312777	NM_032300
ENST00000493547	NM_001256238
ENST00000611620	NM_001256497
ENST00000252037	NM_003602
ENST00000411977	NM_001079906
ENST00000411977	NM_001253799
ENST00000411977	NM_001253798
ENST00000278243	NM_014489
ENST00000614641	NM_001281428
ENST00000237353	NM_031293
ENST00000434431	NM_001145051
ENST00000513999	NM_001253800
ENST00000463452	NM_001256240
ENST00000463452	NM_001256239
ENST00000457020	NM_173571
ENST00000378982	NM_002367
ENST00000393038	NM_016077
ENST00000383653	NM_001005226
ENST00000616413	NM_002287
ENST00000548729	NM_001199781
ENST00000548729	NM_001199782
ENST00000417037	NM_001172567
ENST00000378719	NM_001098811
ENST00000616724	NM_001289026
ENST00000616724	NM_001289027
ENST00000409433	NM_001015509
ENST00000512387	NM_001253801
ENST00000216442	NM_015994
ENST00000256103	NM_002677
ENST00000620726	NM_001289023
ENST00000260653	NM_005413
ENST00000317623	NM_022495
ENST00000216832	NM_002687
ENST00000394067	NM_001318734
ENST00000394067	NM_001134776
ENST00000309170	NM_014879
ENST00000449416	NM_001317115
ENST00000449416	NM_001317117
ENST00000449416	NM_001317118
ENST00000316924	NM_022822
ENST00000396991	NM_001256235
ENST00000424796	NM_001081455
ENST00000317502	NM_138384
ENST00000338970	NM_003973
ENST00000376650	NM_001012728
ENST00000296873	NM_001300799
ENST00000296873	NM_015146
ENST00000299705	NM_007364
ENST00000328333	NM_000094
ENST00000445193	NM_001098783
ENST00000536821	NM_001301203
ENST00000295959	NM_007042
ENST00000421552	NM_001134774
ENST00000396203	NM_001034996
ENST00000417856	NM_001134775
ENST00000355636	NM_001160213
ENST00000349552	NM_174897
ENST00000351193	NM_015938
ENST00000296210	NM_001142646
ENST00000309993	NM_018133
ENST00000472947	NM_001320227
ENST00000263431	NM_002739
ENST00000434835	NM_001145417
ENST00000355552	NM_001136053
ENST00000295755	NM_032579
ENST00000632153	NM_000218
ENST00000632153	NM_181798
ENST00000382255	NM_006557
ENST00000382255	NM_001130865
ENST00000263196	NM_005137
ENST00000263196	NM_001184781
ENST00000393774	NM_194287
ENST00000315757	NM_001004439
ENST00000270649	NM_025040
ENST00000378701	NM_001300798
ENST00000458488	NM_001098812
ENST00000551177	NM_001080464
ENST00000382251	NM_181872
ENST00000225983	NM_001015053
ENST00000622136	NM_031430
ENST00000598581	NM_007231
ENST00000537045	NM_001173534
ENST00000537045	NM_001173533
ENST00000619136	NM_001083899
ENST00000619136	NM_016363
ENST00000586802	NM_005474
ENST00000448933	NM_001098813
ENST00000594295	NM_001136499
ENST00000616319	NM_001256017
ENST00000361763	NM_000733
ENST00000426391	NM_001321349
ENST00000400018	NM_001166017
ENST00000399833	NM_006411
ENST00000331343	NM_015227
ENST00000370188	NM_001010861
ENST00000524140	NM_001007525
ENST00000321617	NM_020753
ENST00000430069	NM_001321193
ENST00000430069	NM_001321194
ENST00000430069	NM_001321195
ENST00000383294	NM_032741
ENST00000309180	NM_013308
ENST00000432233	NM_021250
ENST00000358933	NM_014329
ENST00000520931	NM_001252386
ENST00000372555	NM_003279
ENST00000263177	NM_001037317
ENST00000433559	NM_001142643
ENST00000294256	NM_032431
ENST00000234420	NM_000179
ENST00000486742	NM_181985
ENST00000457928	NM_024665
ENST00000226574	NM_003998
ENST00000349485	NM_133635
ENST00000609309	NM_178238
ENST00000297785	NM_000689
ENST00000448864	NM_001316311
ENST00000448864	NM_000996
ENST00000552788	NM_001290355
ENST00000377190	NM_172230
ENST00000383102	NM_002121
ENST00000281871	NM_025029
ENST00000611436	NM_001083899
ENST00000611436	NM_016363
ENST00000394820	NM_001165412
ENST00000314759	NM_145061
ENST00000555099	NM_001001955
ENST00000425600	NM_004557
ENST00000254584	NM_012402
ENST00000622653	NM_001256017
ENST00000335238	NM_001005270
ENST00000505458	NM_001319226
ENST00000391785	NM_018260
ENST00000218032	NM_138636
ENST00000311912	NM_016610
ENST00000614496	NM_001281493
ENST00000233190	NM_005006
ENST00000359548	NM_207328
ENST00000540331	NM_001172655
ENST00000610364	NM_001171631
ENST00000538136	NM_001281494
ENST00000540021	NM_001281492
ENST00000434632	NM_001321525
ENST00000445086	NM_001242856
ENST00000294119	NM_015853
ENST00000618893	NM_001171632
ENST00000618893	NM_001039724
ENST00000618893	NM_052946
ENST00000405764	NM_152774
ENST00000225823	NM_183377
ENST00000369940	NM_001010844
ENST00000287139	NM_018055
ENST00000423725	NM_001199983
ENST00000613269	NM_013337
ENST00000437043	NM_001130140
ENST00000437043	NM_022350
ENST00000423813	NM_001242855
ENST00000359872	NM_001094
ENST00000383638	NM_001470
ENST00000383636	NM_021903
ENST00000348931	NM_199321
ENST00000383637	NM_021904
ENST00000614314	NM_001242854
ENST00000548546	NM_030876
ENST00000399959	NM_001356
ENST00000399959	NM_001193416
ENST00000383790	NM_152396
ENST00000440274	NM_001199981
ENST00000450816	NM_001301790
ENST00000393892	NM_033133
ENST00000222598	NM_005221
ENST00000265707	NM_014237
ENST00000306156	NM_005400
ENST00000236709	NM_016161
ENST00000379866	NM_001320313
ENST00000263360	NM_003797
ENST00000370078	NM_018137
ENST00000383235	NM_000593
ENST00000383235	NM_001292022
ENST00000377940	NM_198844
ENST00000520772	NM_001190956
ENST00000432169	NM_001199982
ENST00000327320	NM_152991
ENST00000262940	NM_006989
ENST00000351625	NM_001308007
ENST00000260386	NM_002220
ENST00000437373	NM_170783
ENST00000260010	NM_003264
ENST00000455934	NM_001199984
ENST00000449970	NM_001079877
ENST00000457138	NM_001193417
ENST00000431032	NM_001278785
ENST00000433264	NM_014596
ENST00000620820	NM_001127255
ENST00000620820	NM_139176
ENST00000618995	NM_206828
ENST00000191018	NM_001127695
ENST00000432545	NM_001278786
ENST00000259400	NM_017919
ENST00000301935	NM_001286077
ENST00000537226	NM_001277291
ENST00000354880	NM_001167594
ENST00000341514	NM_000052
ENST00000372484	NM_000308
ENST00000264771	NM_032326
ENST00000568908	NM_001145770
ENST00000315050	NM_001252391
ENST00000352203	NM_001301078
ENST00000343533	NM_001282224
ENST00000315987	NM_004980
ENST00000523338	NM_001252392
ENST00000302127	NM_172198
ENST00000415322	NM_003782
ENST00000398015	NM_004441
ENST00000568909	NM_001290143
ENST00000334289	NM_178127
ENST00000340533	NM_148923
ENST00000601498	NM_001301076
ENST00000599990	NM_001301081
ENST00000278460	NM_001278222
ENST00000278460	NM_024113
ENST00000322175	NM_198479
ENST00000567835	NM_001290142
ENST00000567835	NM_005682
ENST00000567835	NM_001145771
ENST00000335247	NM_001001665
ENST00000522226	NM_001252390
ENST00000397766	NM_152595
ENST00000372406	NM_001136557
ENST00000263270	NM_004069
ENST00000347136	NM_020960
ENST00000347136	NM_001287346
ENST00000622362	NM_001145191
ENST00000378618	NM_001003678
ENST00000521591	NM_006058
ENST00000521591	NM_001258454
ENST00000518977	NM_001252393
ENST00000462693	28885
ENST00000601649	NM_021575
ENST00000494131	NM_001914
ENST00000395460	NM_001003676
ENST00000420713	NM_001159279
ENST00000380358	NM_001005271
ENST00000562631	NM_201525
ENST00000397914	NM_001190807
ENST00000378615	NM_001003677
ENST00000358181	NM_005852
ENST00000621843	NM_015995
ENST00000297540	NM_032177
ENST00000616865	NM_001286078
ENST00000508803	NM_001042424
ENST00000378156	NM_001291594
ENST00000378156	NM_001291593
ENST00000378156	NM_015102
ENST00000330494	NM_001005273
ENST00000372410	NM_001136558
ENST00000388813	NM_001145772
ENST00000426895	NM_001025930
ENST00000615808	NM_033223
ENST00000610535	NM_001258455
ENST00000620244	NM_001304457
ENST00000562558	NM_201524
ENST00000555083	NM_001270873
ENST00000335025	NM_148175
ENST00000454829	NM_005275
ENST00000367078	NM_001017365
ENST00000571922	NM_001025194
ENST00000309922	NM_017819
ENST00000194130	NM_022444
ENST00000576783	NM_001266
ENST00000510175	NM_001039127
ENST00000626352	NM_148176
ENST00000622596	NM_001081443
ENST00000336148	NM_012415
ENST00000574513	NM_001025195
ENST00000243611	NM_000716
ENST00000389378	NM_001252385
ENST00000621193	NM_006840
ENST00000367076	NM_001017366
ENST00000367076	NM_001017364
ENST00000238081	NM_006826
ENST00000610874	NM_001258456
ENST00000561623	NM_001286242
ENST00000423778	NM_178554
ENST00000370367	NM_001017361
ENST00000279873	NM_032199
ENST00000614318	NM_001081442
ENST00000609714	NM_001289930
ENST00000609714	NM_001289931
ENST00000618299	NM_004058
ENST00000278715	NM_000190
ENST00000309334	NM_001244638
ENST00000222125	NM_080590
ENST00000391923	NM_001017367
ENST00000262811	NM_015016
ENST00000297592	NM_001205262
ENST00000420906	NM_007331
ENST00000356183	NM_001520
ENST00000382895	NM_133330
ENST00000334370	NM_001410
ENST00000217893	NM_003187
ENST00000542729	NM_001258209
ENST00000621718	NM_013289
ENST00000347159	NM_021154
ENST00000269601	NM_006701
ENST00000400341	NM_002117
ENST00000240488	NM_032117
ENST00000585474	NM_001305564
ENST00000251268	NM_001271938
ENST00000328663	NM_001015892
ENST00000226413	NM_000406
ENST00000406385	NM_014337
ENST00000282633	NM_001005751
ENST00000419474	NM_033400
ENST00000622785	NM_001253861
ENST00000420975	NM_001012763
ENST00000376588	NM_058179
ENST00000397002	NM_006177
ENST00000540164	NM_001290144
ENST00000540164	NM_001145774
ENST00000258416	NM_004846
ENST00000222690	NM_138635
ENST00000247219	NM_199047
ENST00000216962	NM_002862
ENST00000613540	NM_030904
ENST00000357060	NM_025145
ENST00000216037	NM_005080
ENST00000398261	NM_133334
ENST00000388820	NM_014272
ENST00000265187	NM_182802
ENST00000544387	NM_001258208
ENST00000378883	NM_001281522
ENST00000382892	NM_133331
ENST00000409514	NM_001282958
ENST00000378896	NM_001281520
ENST00000378896	NM_032485
ENST00000378103	NM_020944
ENST00000382891	NM_133335
ENST00000378886	NM_001281521
ENST00000209540	NM_001004713
ENST00000361115	NM_001301874
ENST00000361115	NM_001301873
ENST00000361115	NM_148672
ENST00000409098	NM_001276336
ENST00000349299	NM_201517
ENST00000245304	NM_021033
ENST00000351071	NM_001291398
ENST00000382932	NM_004173
ENST00000308153	NM_012412
ENST00000513525	NM_001301875
ENST00000326427	NM_001287241
ENST00000326427	NM_030926
ENST00000350771	NM_201436
ENST00000611155	NM_001079539
ENST00000431639	NM_001143990
ENST00000515740	NM_001297428
ENST00000335005	NM_001012514
ENST00000381124	NM_201516
ENST00000366473	NM_001004697
ENST00000456916	NM_001145773
ENST00000508204	NM_001297424
ENST00000508204	NM_001297423
ENST00000508204	NM_001297425
ENST00000409394	NM_001276337
ENST00000326407	NM_001012516
ENST00000392841	NM_001024382
ENST00000264563	NM_000641
ENST00000457584	NM_001143991
ENST00000409704	NM_001287240
ENST00000372390	NM_001015881
ENST00000257868	NM_005811
ENST00000622959	NM_001297426
ENST00000622959	NM_001297427
ENST00000344363	NM_030966
ENST00000590625	NM_001267718
ENST00000396463	NM_018081
ENST00000396463	NM_001143992
ENST00000435339	NM_005296
ENST00000376840	NM_001102426
ENST00000344646	NM_001128324
ENST00000344646	NM_174890
ENST00000513838	NM_001243789
ENST00000614823	NM_001278000
ENST00000371755	NM_001304463
ENST00000489363	NM_001297435
ENST00000371740	NM_001078175
ENST00000610406	NM_004542
ENST00000472884	NM_001013622
ENST00000485050	NM_001256835
ENST00000333676	NM_002949
ENST00000508394	NM_001243788
ENST00000308132	NM_001174070
ENST00000400900	NM_198544
ENST00000357799	NM_001160046
ENST00000357799	NM_001160033
ENST00000357799	NM_152524
ENST00000372397	NM_004089
ENST00000304494	NM_000077
ENST00000371464	NM_006744
ENST00000402860	NM_178552
ENST00000470413	NM_199006
ENST00000514685	NM_001243790
ENST00000281273	NM_024638
ENST00000318245	NM_001257995
ENST00000393841	NM_001078177
ENST00000262450	NM_015557
ENST00000314251	NM_001278658
ENST00000314251	NM_000340
ENST00000314251	NM_001278659
ENST00000602787	NM_001270517
ENST00000393844	NM_001304465
ENST00000393844	NM_001304466
ENST00000393844	NM_001304462
ENST00000602296	NM_001243768
ENST00000629763	NM_001323518
ENST00000337581	NM_001243787
ENST00000337581	NM_014311
ENST00000360039	NM_024637
ENST00000449291	NM_145201
ENST00000243112	NM_001243791
ENST00000315660	NM_001318468
ENST00000374366	NM_001282906
ENST00000374366	NM_001282905
ENST00000520539	NM_015902
ENST00000372383	NM_198057
ENST00000479882	NM_001256837
ENST00000381821	NM_001163857
ENST00000366757	NM_183062
ENST00000374667	NM_006686
ENST00000426292	NM_001286829
ENST00000220959	NM_001282873
ENST00000372384	NM_001318470
ENST00000493014	NM_001256836
ENST00000295113	NM_001463
ENST00000314138	NM_000990
ENST00000579755	NM_058195
ENST00000371521	NM_001144026
ENST00000247291	NM_031426
ENST00000332650	NM_001004736
ENST00000372300	NM_001185096
ENST00000278025	NM_001098483
ENST00000255305	NM_022459
ENST00000427047	NM_001144027
ENST00000368552	NM_198472
ENST00000560985	NM_001308025
ENST00000498124	NM_001195132
ENST00000393110	NM_182915
ENST00000458322	NM_001144028
ENST00000447176	NM_001301827
ENST00000331825	NM_000146
ENST00000398884	NM_001134493
ENST00000393106	NM_018234
ENST00000393106	NM_001008410
ENST00000409358	NM_001099434
ENST00000372309	NM_001185095
ENST00000367419	NM_138785
ENST00000448083	NM_001300857
ENST00000268138	NM_152259
ENST00000368551	NM_001301828
ENST00000525123	NM_024783
ENST00000240617	NM_024829
ENST00000378045	NM_173794
ENST00000330498	NM_003041
ENST00000295417	NM_003468
ENST00000397060	NM_001098486
ENST00000315769	NM_001135731
ENST00000585316	NM_153034
ENST00000370456	NM_198460
ENST00000383263	NM_012125
ENST00000361703	NM_006632
ENST00000380317	NM_001286526
ENST00000297737	NM_024645
ENST00000345005	NM_003992
ENST00000312562	NM_005438
ENST00000531493	NM_001300844
ENST00000532401	NM_001300855
ENST00000622043	NM_153443
ENST00000215115	NM_004765
ENST00000621063	NM_014967
ENST00000334527	NM_030808
ENST00000532097	NM_002817
ENST00000341048	NM_024669
ENST00000253451	NM_001201359
ENST00000402554	NM_001025579
ENST00000390669	NM_005624
ENST00000334830	NM_182606
ENST00000324938	NM_017980
ENST00000359426	NM_001322366
ENST00000359426	NM_000188
ENST00000379059	NM_016937
ENST00000508048	NM_001114387
ENST00000569347	NM_173619
ENST00000293805	NM_181844
ENST00000609129	NM_001145720
ENST00000431206	NM_175932
ENST00000616461	NM_206818
ENST00000616758	NM_001282349
ENST00000611715	NM_133168
ENST00000611715	NM_001282350
ENST00000360289	NM_033500
ENST00000372391	NM_004747
ENST00000611143	NM_130771
ENST00000611143	NM_133169
ENST00000298649	NM_033496
ENST00000367874	NM_053053
ENST00000448642	NM_001322364
ENST00000448642	NM_033498
ENST00000448642	NM_033497
ENST00000341495	NM_198153
ENST00000274457	NM_020177
ENST00000268912	NM_012374
ENST00000352998	NM_152604
ENST00000392378	NM_004051
ENST00000372907	NM_024885
ENST00000355119	NM_001161403
ENST00000615739	NM_015868
ENST00000356784	NM_001168474
ENST00000410011	NM_001161404
ENST00000283415	NM_024830
ENST00000395066	NM_001130028
ENST00000300797	NM_001256443
ENST00000572933	NM_020877
ENST00000265382	NM_003558
ENST00000541714	NM_001267560
ENST00000245157	NM_031885
ENST00000410038	NM_001256542
ENST00000570791	NM_001303270
ENST00000221476	NM_001824
ENST00000422433	NM_014234
ENST00000545738	NM_001136037
ENST00000340437	NM_024811
ENST00000541509	NM_001278253
ENST00000593152	NM_001001935
ENST00000593152	NM_001257335
ENST00000589378	NM_001267561
ENST00000390539	3494
ENST00000358186	NM_203315
ENST00000392379	NM_203314
ENST00000338624	NM_001146056
ENST00000329406	NM_002674
ENST00000372281	NM_025125
ENST00000372281	NM_001270372
ENST00000372275	NM_001270373
ENST00000372274	NM_001270370
ENST00000327835	NM_001033723
ENST00000372273	NM_001270367
ENST00000372273	NM_001270368
ENST00000588234	NM_014047
ENST00000361099	NM_007315
ENST00000539842	NM_002770
ENST00000296498	NM_003619
ENST00000367993	NM_004550
ENST00000567659	NM_001256442
ENST00000392322	NM_139266
ENST00000321339	NM_177478
ENST00000256958	NM_006446
ENST00000633969	NM_001303414
ENST00000245615	NM_024298
ENST00000358758	NM_145239
ENST00000344930	NM_001013746
ENST00000623930	NM_001001967
ENST00000282050	NM_001001937
ENST00000225724	NM_004871
ENST00000391754	NM_001146082
ENST00000443917	NM_001290318
ENST00000241416	NM_001278579
ENST00000241416	NM_001616
ENST00000054666	NM_004781
ENST00000393486	NM_001166345
ENST00000598744	NM_001290319
ENST00000451249	NM_001007025
ENST00000613690	NM_001282360
ENST00000399575	NM_021225
ENST00000356798	NM_002209
ENST00000620827	NM_001282359
ENST00000540593	NM_001242927
ENST00000216252	NM_032758
ENST00000440137	NM_021123
ENST00000440137	NM_001476
ENST00000440137	NM_001474
ENST00000440137	NM_001475
ENST00000440137	NM_001098407
ENST00000423627	NM_016220
ENST00000391705	NM_020657
ENST00000254691	NM_032587
ENST00000523207	NM_004770
ENST00000614186	NM_199072
ENST00000237536	NM_080627
ENST00000614181	NM_153443
ENST00000348367	NM_001244949
ENST00000348367	NM_020918
ENST00000431666	NM_001146083
ENST00000413916	NM_001300959
ENST00000613758	NM_001270371
ENST00000358164	NM_001114380
ENST00000323798	NM_002103
ENST00000367360	NM_001001788
ENST00000279034	NM_199181
ENST00000535787	NM_001278580
ENST00000263276	NM_001161587
ENST00000288087	NM_001199822
ENST00000288087	NM_138476
ENST00000634070	28485
ENST00000276218	NM_178471
ENST00000335512	NM_001001567
ENST00000398752	NM_004046
ENST00000400532	NM_001270408
ENST00000309315	NM_031449
ENST00000321998	NM_016138
ENST00000198767	NM_018427
ENST00000349184	NM_181309
ENST00000480456	NM_021219
ENST00000372726	NM_014477
ENST00000290390	NM_001145054
ENST00000429751	NM_001301064
ENST00000467337	NM_001007024
ENST00000296980	NM_052962
ENST00000265346	NM_174929
ENST00000339602	NM_181310
ENST00000296509	NM_002358
ENST00000396833	NM_001199821
ENST00000258888	NM_020778
ENST00000301480	NM_152476
ENST00000312957	NM_001270407
ENST00000590665	NM_001257334
ENST00000324593	NM_001242926
ENST00000630519	NM_001012709
ENST00000544894	NM_001190983
ENST00000392179	NM_001166159
ENST00000263697	NM_014280
ENST00000324557	NM_032331
ENST00000375299	NM_023011
ENST00000395407	NM_017705
ENST00000586178	NM_017643
ENST00000561153	NM_001104554
ENST00000263864	NM_003761
ENST00000449228	NM_001127240
ENST00000300880	NM_001127242
ENST00000347703	NM_145810
ENST00000351487	NM_080687
ENST00000333870	NM_175734
ENST00000298532	NM_003086
ENST00000232501	NM_006545
ENST00000306721	NM_031942
ENST00000374954	NM_001672
ENST00000341983	NM_001127241
ENST00000404190	NM_001080518
ENST00000519067	NM_001286648
ENST00000394888	NM_001136040
ENST00000383671	NM_173799
ENST00000373672	NM_001856
ENST00000381668	NM_006095
ENST00000078527	NM_017837
ENST00000367569	NM_031287
ENST00000517878	NM_001286646
ENST00000396124	NM_152416
ENST00000357258	NM_015642
ENST00000439096	NM_014417
ENST00000374145	NM_001202554
ENST00000462705	NM_001164343
ENST00000400585	NM_001290046
ENST00000264449	NM_001105529
ENST00000481632	NM_001164347
ENST00000358992	NM_001080456
ENST00000383542	NM_001470
ENST00000615182	NM_001166105
ENST00000024061	NM_001080431
ENST00000471418	NM_001164345
ENST00000439958	NM_001142565
ENST00000383537	NM_021903
ENST00000409246	NM_001286533
ENST00000409246	NM_001286531
ENST00000409246	NM_001286532
ENST00000383541	NM_021904
ENST00000313164	NM_000587
ENST00000383121	NM_001243962
ENST00000370018	NM_016434
ENST00000358907	NM_014925
ENST00000508582	NM_032957
ENST00000404938	NM_001163941
ENST00000238823	NM_001304538
ENST00000238823	NM_015475
ENST00000329198	NM_004387
ENST00000474710	NM_001164342
ENST00000342247	NM_001290047
ENST00000424406	NM_001166175
ENST00000464560	NM_001164344
ENST00000620367	NM_001291918
ENST00000620367	NM_133439
ENST00000521848	NM_001166176
ENST00000311412	NM_001098540
ENST00000612272	NM_001488
ENST00000319194	NM_001323938
ENST00000319194	NM_001323936
ENST00000319194	NM_001323944
ENST00000319194	NM_133375
ENST00000264029	NM_007180
ENST00000369486	NM_001007237
ENST00000360203	NM_001283009
ENST00000546801	NM_020056
ENST00000369483	NM_001542
ENST00000392672	NM_152442
ENST00000371485	NM_001127182
ENST00000371485	NM_018131
ENST00000393785	NM_001164346
ENST00000409300	NM_001286535
ENST00000409425	NM_001286534
ENST00000380299	NM_000519
ENST00000442160	NM_001242924
ENST00000618388	NM_014219
ENST00000397925	NM_001301065
ENST00000278407	NM_000062
ENST00000278407	NM_001032295
ENST00000409778	NM_001286536
ENST00000392872	NM_003211
ENST00000555044	NM_021188
ENST00000555044	NM_001242928
ENST00000334116	NM_001321351
ENST00000405413	NM_006665
ENST00000343414	NM_001013355
ENST00000318100	NM_001283010
ENST00000446176	NM_015033
ENST00000312175	NM_001143985
ENST00000312175	NM_003860
ENST00000368986	NM_003269
ENST00000217246	NM_080676
ENST00000591340	NM_020951
ENST00000591340	NM_001145649
ENST00000368983	NM_001286102
ENST00000443026	NM_001163942
ENST00000406935	NM_001163993
ENST00000319212	NM_001143688
ENST00000258738	NM_178559
ENST00000610772	NM_001287395
ENST00000307355	NM_001271639
ENST00000616138	NM_000076
ENST00000310803	NM_005739
ENST00000512196	NM_001166498
ENST00000299565	NM_000745
ENST00000297029	NM_001112706
ENST00000559554	NM_001307945
ENST00000494380	NM_001160183
ENST00000440155	NM_006524
ENST00000313407	NM_001122630
ENST00000313407	NM_001122631
ENST00000440598	NM_001271637
ENST00000519209	NM_033128
ENST00000437743	NM_001271638
ENST00000398000	NM_176819
ENST00000336577	NM_022468
ENST00000375495	NM_031486
ENST00000333926	NM_018464
ENST00000450598	NM_001128602
ENST00000393545	NM_018418
ENST00000359735	NM_001271640
ENST00000559830	NM_001306086
ENST00000332591	NM_001007101
ENST00000513463	NM_001199830
ENST00000377934	NM_024689
ENST00000395505	NM_001261458
ENST00000395506	NM_001261460
ENST00000395506	NM_001261459
ENST00000395348	NM_194298
ENST00000277216	NM_001001919
ENST00000402914	NM_001033087
ENST00000394095	NM_020654
ENST00000621271	NM_001835
ENST00000400633	NM_001009612
ENST00000427926	NM_007098
ENST00000379158	NM_001161
ENST00000502113	NM_001163692
